Lexeme                              LINE NO         TOKEN NAME             VALUE IF NUM           PARENT SYMBOL          IS LEAF NODE    NODE SYMBOL           
-----                               -----           -----                  -----                  mulDivRem              No             mulDiv                
/                                   11              TK_DIV                 -----                  mulDiv                 Yes             -----                 
-----                               -----           -----                  -----                  mulDivRem              No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
4                                   11              TK_NUM                 4                      var                    Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             mulDivRem             
-----                               -----           -----                  -----                  mulDivRem              Yes            mulDivRem             
-----                               -----           -----                  -----                  nestedExp              No             arithmeticExpression  
-----                               -----           -----                  -----                  arithmeticExpression   Yes            addSubRem             
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              Yes            TK_CL                 
-----                               -----           -----                  -----                  arithmeticExpression   No             unit                  
-----                               -----           -----                  -----                  unit                   Yes            mulDivRem             
-----                               -----           -----                  -----                  assignmentStmt         No             arithmeticExpression  
-----                               -----           -----                  -----                  arithmeticExpression   Yes            addSubRem             
-----                               -----           -----                  -----                  stmt                   No             assignmentStmt        
;                                   11              TK_SEM                 -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  otherStmts             No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
c4bbb                               12              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
<---                                12              TK_ASSIGNOP            -----                  assignmentStmt         Yes             -----                 
(                                   12              TK_OP                  -----                  nestedExp              Yes             -----                 
(                                   12              TK_OP                  -----                  nestedExp              Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
d4cbcd5677                          12              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  arithmeticExpression   No             unit                  
-----                               -----           -----                  -----                  unit                   Yes            mulDivRem             
-----                               -----           -----                  -----                  nestedExp              No             arithmeticExpression  
-----                               -----           -----                  -----                  addSubRem              No             addSub                
-                                   12              TK_MINUS               -----                  addSub                 Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
2.35                                12              TK_RNUM                2.35                   var                    Yes             -----                 
-----                               -----           -----                  -----                  addSubRem              No             unit                  
-----                               -----           -----                  -----                  unit                   Yes            mulDivRem             
-----                               -----           -----                  -----                  arithmeticExpression   No             addSubRem             
-----                               -----           -----                  -----                  addSubRem              Yes            addSubRem             
-----                               -----           -----                  -----                  unit                   No             nestedExp             
)                                   12              TK_CL                  -----                  nestedExp              Yes             -----                 
-----                               -----           -----                  -----                  arithmeticExpression   No             unit                  
-----                               -----           -----                  -----                  mulDivRem              No             mulDiv                
*                                   12              TK_MUL                 -----                  mulDiv                 Yes             -----                 
(                                   12              TK_OP                  -----                  nestedExp              Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
2345                                12              TK_NUM                 2345                   var                    Yes             -----                 
-----                               -----           -----                  -----                  arithmeticExpression   No             unit                  
-----                               -----           -----                  -----                  unit                   Yes            mulDivRem             
